municipio,departamento,obligacion,periodicidad,periodo,fecha_vencimiento,regla,nota
Acacías,Meta,ReteICA,Bimestral,jul-ago,2026-09-15,fija,
Acacías,Meta,ReteICA,Bimestral,sep-oct,2026-11-17,fija,
Acacías,Meta,ReteICA,Bimestral,nov-dic,2027-01-19,fija,
Aguazul,Casanare,ReteICA,Bimestral,jul-ago,2026-09-25,fija,
Aguazul,Casanare,ReteICA,Bimestral,sep-oct,2026-11-20,fija,
Aguazul,Casanare,ReteICA,Bimestral,nov-dic,2027-01-22,fija,
Barranca De Upía,Meta,ReteICA,Bimestral,jul-ago,2026-09-25,fija,
Barranca De Upía,Meta,ReteICA,Bimestral,sep-oct,2026-11-20,fija,
Barranca De Upía,Meta,ReteICA,Bimestral,nov-dic,2027-01-22,fija,
"Bogotá, D.C.","Bogotá, D.C.",ReteICA,Bimestral,jul-ago,2026-09-18,fija,
"Bogotá, D.C.","Bogotá, D.C.",ReteICA,Bimestral,sep-oct,2026-11-20,fija,
"Bogotá, D.C.","Bogotá, D.C.",ReteICA,Bimestral,nov-dic,2027-01-15,fija,
Cabuyaro,Meta,ReteICA,Bimestral,jul-ago,2026-09-15,fija,
Cabuyaro,Meta,ReteICA,Bimestral,sep-oct,2026-11-16,fija,
Cabuyaro,Meta,ReteICA,Bimestral,nov-dic,2027-01-15,fija,
Cartagena De Indias,Bolívar,ReteICA,Bimestral,jul-ago,2026-09-24,fija,
Cartagena De Indias,Bolívar,ReteICA,Bimestral,sep-oct,2026-11-26,fija,
Cartagena De Indias,Bolívar,ReteICA,Bimestral,nov-dic,2027-01-28,fija,
Cartagena De Indias,Bolívar,AutoICA,Bimestral,jul-ago,2026-09-24,fija,
Cartagena De Indias,Bolívar,AutoICA,Bimestral,sep-oct,2026-11-26,fija,
Cartagena De Indias,Bolívar,AutoICA,Bimestral,nov-dic,2027-01-28,fija,
Castilla la Nueva,Meta,ReteICA,Mensual,jul,2026-08-13,fija,
Castilla la Nueva,Meta,ReteICA,Mensual,ago,2026-09-10,fija,
Castilla la Nueva,Meta,ReteICA,Mensual,sep,2026-10-13,fija,
Castilla la Nueva,Meta,ReteICA,Mensual,oct,2026-11-12,fija,
Castilla la Nueva,Meta,ReteICA,Mensual,nov,2026-12-10,fija,
Castilla la Nueva,Meta,ReteICA,Mensual,dic,2027-01-14,fija,
Granada M,Meta,ReteICA,Mensual,jul,,por dígito NIT,representativa; ver dígito
Granada M,Meta,ReteICA,Mensual,ago,,por dígito NIT,representativa; ver dígito
Granada M,Meta,ReteICA,Mensual,sep,,por dígito NIT,representativa; ver dígito
Granada M,Meta,ReteICA,Mensual,oct,,por dígito NIT,representativa; ver dígito
Granada M,Meta,ReteICA,Mensual,nov,,por dígito NIT,representativa; ver dígito
Granada M,Meta,ReteICA,Mensual,dic,,por dígito NIT,representativa; ver dígito
Guamal M,Meta,ReteICA,Bimestral,jul-ago,2026-09-25,fija,
Guamal M,Meta,ReteICA,Bimestral,sep-oct,2026-11-20,fija,
Guamal M,Meta,ReteICA,Bimestral,nov-dic,2027-01-29,fija,
Madrid,Cundinamarca,ReteICA,Bimestral,jul-ago,2026-09-15,fija,
