obligacion,subtipo,digito_o_rango,fecha_vencimiento
Renta Grandes Contribuyentes,1a cuota (feb),1,2026-02-10
Renta Grandes Contribuyentes,1a cuota (feb),2,2026-02-11
Renta Grandes Contribuyentes,1a cuota (feb),3,2026-02-12
Renta Grandes Contribuyentes,1a cuota (feb),4,2026-02-13
Renta Grandes Contribuyentes,1a cuota (feb),5,2026-02-16
Renta Grandes Contribuyentes,1a cuota (feb),6,2026-02-17
Renta Grandes Contribuyentes,1a cuota (feb),7,2026-02-18
Renta Grandes Contribuyentes,1a cuota (feb),8,2026-02-19
Renta Grandes Contribuyentes,1a cuota (feb),9,2026-02-20
Renta Grandes Contribuyentes,1a cuota (feb),0,2026-02-23
Renta Grandes Contribuyentes,2a cuota / declaración (abr),1,2026-04-13
Renta Grandes Contribuyentes,2a cuota / declaración (abr),2,2026-04-14
Renta Grandes Contribuyentes,2a cuota / declaración (abr),3,2026-04-15
Renta Grandes Contribuyentes,2a cuota / declaración (abr),4,2026-04-16
Renta Grandes Contribuyentes,2a cuota / declaración (abr),5,2026-04-20
Renta Grandes Contribuyentes,2a cuota / declaración (abr),6,2026-04-21
Renta Grandes Contribuyentes,2a cuota / declaración (abr),7,2026-04-22
Renta Grandes Contribuyentes,2a cuota / declaración (abr),8,2026-04-23
Renta Grandes Contribuyentes,2a cuota / declaración (abr),9,2026-04-24
Renta Grandes Contribuyentes,2a cuota / declaración (abr),0,2026-04-27
Renta Grandes Contribuyentes,3a cuota (jun),1,2026-06-10
Renta Grandes Contribuyentes,3a cuota (jun),2,2026-06-11
Renta Grandes Contribuyentes,3a cuota (jun),3,2026-06-12
Renta Grandes Contribuyentes,3a cuota (jun),4,2026-06-16
Renta Grandes Contribuyentes,3a cuota (jun),5,2026-06-17
Renta Grandes Contribuyentes,3a cuota (jun),6,2026-06-18
Renta Grandes Contribuyentes,3a cuota (jun),7,2026-06-19
Renta Grandes Contribuyentes,3a cuota (jun),8,2026-06-22
Renta Grandes Contribuyentes,3a cuota (jun),9,2026-06-23
Renta Grandes Contribuyentes,3a cuota (jun),0,2026-06-24
Renta Persona Jurídica,1a cuota / declaración (may),1,2026-05-12
Renta Persona Jurídica,1a cuota / declaración (may),2,2026-05-13
Renta Persona Jurídica,1a cuota / declaración (may),3,2026-05-14
Renta Persona Jurídica,1a cuota / declaración (may),4,2026-05-15
Renta Persona Jurídica,1a cuota / declaración (may),5,2026-05-19
Renta Persona Jurídica,1a cuota / declaración (may),6,2026-05-20
Renta Persona Jurídica,1a cuota / declaración (may),7,2026-05-21
Renta Persona Jurídica,1a cuota / declaración (may),8,2026-05-22
Renta Persona Jurídica,1a cuota / declaración (may),9,2026-05-25
Renta Persona Jurídica,1a cuota / declaración (may),0,2026-05-26
Renta Persona Jurídica,2a cuota (jul),1,2026-07-09
Renta Persona Jurídica,2a cuota (jul),2,2026-07-10
Renta Persona Jurídica,2a cuota (jul),3,2026-07-14
Renta Persona Jurídica,2a cuota (jul),4,2026-07-15
Renta Persona Jurídica,2a cuota (jul),5,2026-07-16
Renta Persona Jurídica,2a cuota (jul),6,2026-07-17
Renta Persona Jurídica,2a cuota (jul),7,2026-07-21
Renta Persona Jurídica,2a cuota (jul),8,2026-07-22
Renta Persona Jurídica,2a cuota (jul),9,2026-07-23
Renta Persona Jurídica,2a cuota (jul),0,2026-07-24
Renta Persona Natural,declaración y pago (ago-oct),01-02,2026-08-12
Renta Persona Natural,declaración y pago (ago-oct),03-04,2026-08-13
Renta Persona Natural,declaración y pago (ago-oct),05-06,2026-08-14
Renta Persona Natural,declaración y pago (ago-oct),07-08,2026-08-18
Renta Persona Natural,declaración y pago (ago-oct),09-10,2026-08-19
Renta Persona Natural,declaración y pago (ago-oct),11-12,2026-08-20
Renta Persona Natural,declaración y pago (ago-oct),13-14,2026-08-21
Renta Persona Natural,declaración y pago (ago-oct),15-16,2026-08-24
