codigo,descripcion,seccion,seccion_nombre,division,grupo
0111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas",A,"Agricultura, ganadería, caza, silvicultura y pesca",01,011
0112,Cultivo de arroz,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,011
0113,"Cultivo de hortalizas, raíces y tubérculos",A,"Agricultura, ganadería, caza, silvicultura y pesca",01,011
0114,Cultivo de tabaco,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,011
0115,Cultivo de plantas textiles,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,011
0119,Otros cultivos transitorios n.c.p.,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,011
0121,Cultivode frutas tropicales y subtropicales,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0122,Cultivo de plátano y banano,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0123,Cultivo de café,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0124,Cultivo de caña de azúcar,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0125,Cultivode flor de corte,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0126,Cultivo de palma para aceite (palma africana)y otros frutos oleaginosos,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0127,Cultivo de plantas con las que se preparan bebidas,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0128,Cultivo de especias y de plantas aromáticas y medicinales,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0129,Otros cultivos permanentes n.c.p.,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,012
0130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales)",A,"Agricultura, ganadería, caza, silvicultura y pesca",01,013
0141,Cría de ganado bovino y bufalino,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,014
0142,Cría de caballos y otros equinos,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,014
0143,Cría de ovejas y cabras,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,014
0144,Cría de ganado porcino,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,014
0145,Cría de aves de corral,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,014
0149,Cría de otros animales n.c.p.,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,014
0150,Explotación mixta (agrícola y pecuaria),A,"Agricultura, ganadería, caza, silvicultura y pesca",01,015
0161,Actividades de apoyo a la agricultura,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,016
0162,Actividades de apoyo a la ganadería,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,016
0163,Actividades posteriores a la cosecha,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,016
0164,Tratamiento de semillas para propagación,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,016
0170,Caza ordinaria y mediante trampas y actividades de servicios conexas,A,"Agricultura, ganadería, caza, silvicultura y pesca",01,017
0210,Silvicultura y otras actividades forestales,A,"Agricultura, ganadería, caza, silvicultura y pesca",02,021
0220,Extracción de madera,A,"Agricultura, ganadería, caza, silvicultura y pesca",02,022
0230,Recolección de productos forestales diferentes a la madera,A,"Agricultura, ganadería, caza, silvicultura y pesca",02,023
0240,Servicios de apoyo a la silvicultura,A,"Agricultura, ganadería, caza, silvicultura y pesca",02,024
0311,Pesca marítima,A,"Agricultura, ganadería, caza, silvicultura y pesca",03,031
0312,Pesca de agua dulce,A,"Agricultura, ganadería, caza, silvicultura y pesca",03,031
0321,Acuicultura marítima,A,"Agricultura, ganadería, caza, silvicultura y pesca",03,032
0322,Acuicultura de agua dulce,A,"Agricultura, ganadería, caza, silvicultura y pesca",03,032
0510,Extracción de hulla (carbón de piedra),B,Explotación de minas y canteras,05,051
0520,Extracción de carbón lignito,B,Explotación de minas y canteras,05,052
0610,Extracción de petróleo crudo,B,Explotación de minas y canteras,06,061
0620,Extracción de gas natural,B,Explotación de minas y canteras,06,062
0710,Extracción de minerales de hierro,B,Explotación de minas y canteras,07,071
0721,Extracción de minerales de uranio y de torio,B,Explotación de minas y canteras,07,072
0722,Extracción de oro y otros metales preciosos,B,Explotación de minas y canteras,07,072
0723,Extracción de minerales de níquel,B,Explotación de minas y canteras,07,072
0729,Extracción de otros minerales metalíferos no ferrosos n.c.p.,B,Explotación de minas y canteras,07,072
0811,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",B,Explotación de minas y canteras,08,081
0812,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",B,Explotación de minas y canteras,08,081
0820,"Extracción de esmeraldas, piedras preciosas y semipreciosas",B,Explotación de minas y canteras,08,082
0891,Extracción de minerales para la fabricación de abonos y productos químicos,B,Explotación de minas y canteras,08,089
0892,Extracción de halita (sal),B,Explotación de minas y canteras,08,089
0899,Extracción de otros minerales no metálicos n.c.p.,B,Explotación de minas y canteras,08,089
0910,Actividades de apoyo para la extracción de petróleo y de gas natural,B,Explotación de minas y canteras,09,091
0990,Actividades de apoyo para otras actividades de explotación de minas y canteras,B,Explotación de minas y canteras,09,099
1011,Procesamiento y conservación de carne y productos cárnicos,C,Industrias manufactureras,10,101
1012,"Procesamiento y conservación de pescados, crustáceos y moluscos",C,Industrias manufactureras,10,101
1020,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",C,Industrias manufactureras,10,102
1030,Elaboración de aceites y grasas de origen vegetal y animal,C,Industrias manufactureras,10,103
1040,Elaboración de productos lácteos,C,Industrias manufactureras,10,104
1051,Elaboración de productos de molinería,C,Industrias manufactureras,10,105
1052,Elaboración de almidones y productos derivados del almidón,C,Industrias manufactureras,10,105
1061,Trilla de café,C,Industrias manufactureras,10,106
1062,"Descafeinado, tostión y molienda del café",C,Industrias manufactureras,10,106
1063,Otros derivados del café,C,Industrias manufactureras,10,106
1071,Elaboración y refinación de azúcar,C,Industrias manufactureras,10,107
1072,Elaboración de panela,C,Industrias manufactureras,10,107
1081,Elaboración de productos de panadería,C,Industrias manufactureras,10,108
1082,"Elaboración de cacao, chocolate y productos de confitería",C,Industrias manufactureras,10,108
1083,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",C,Industrias manufactureras,10,108
1084,Elaboración de comidas y platos preparados,C,Industrias manufactureras,10,108
1089,Elaboración de otros productos alimenticios n.c.p.,C,Industrias manufactureras,10,108
1090,Elaboración de alimentos preparados para animales,C,Industrias manufactureras,10,109
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas",C,Industrias manufactureras,11,110
1102,Elaboración de bebidas fermentadas no destiladas,C,Industrias manufactureras,11,110
1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",C,Industrias manufactureras,11,110
1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",C,Industrias manufactureras,11,110
1200,Elaboración de productos de tabaco,C,Industrias manufactureras,12,120
1311,Preparación e hilatura de fibras textiles,C,Industrias manufactureras,13,131
1312,Tejeduría de productos textiles,C,Industrias manufactureras,13,131
1313,Acabado de productos textiles,C,Industrias manufactureras,13,131
1391,Fabricación de tejidos de punto y ganchillo,C,Industrias manufactureras,13,139
1392,"Confección de artículos con materiales textiles, excepto prendas de vestir",C,Industrias manufactureras,13,139
1393,Fabricación de tapetes y alfombras para pisos,C,Industrias manufactureras,13,139
1394,"Fabricación de cuerdas, cordeles, cables, bramantes y redes",C,Industrias manufactureras,13,139
1399,Fabricación de otros artículos textiles n.c.p.,C,Industrias manufactureras,13,139
1410,"Confección de prendas de vestir, excepto prendas de piel",C,Industrias manufactureras,14,141
1420,Fabricación de artículos de piel,C,Industrias manufactureras,14,142
1430,Fabricación de artículos de punto y ganchillo,C,Industrias manufactureras,14,143
1511,Curtido y recurtido de cueros; recurtido y teñido de pieles.,C,Industrias manufactureras,15,
1512,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de tala bartería y guarnicionería.",C,Industrias manufactureras,15,
1513,"Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales",C,Industrias manufactureras,15,
1521,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela",C,Industrias manufactureras,15,152
1522,"Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",C,Industrias manufactureras,15,152
1523,Fabricación de partes del calzado,C,Industrias manufactureras,15,152
1610,"Aserrado, acepillado e impregnación de la madera",C,Industrias manufactureras,16,161
1620,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partícula s y otros tableros y paneles",C,Industrias manufactureras,16,162
1630,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción",C,Industrias manufactureras,16,163
1640,Fabricación de recipientes de madera,C,Industrias manufactureras,16,164
1690,"Fabricación de otros productos de madera; fabricación de artículo s de corcho, cestería y espartería",C,Industrias manufactureras,16,169
1701,Fabricación de pulpas (pastas) celulósicas; papel y cartón,C,Industrias manufactureras,17,170
1702,"Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón.",C,Industrias manufactureras,17,170
1709,Fabricación de otros artículos de papel y cartón,C,Industrias manufactureras,17,170
1811,Actividades de impresión,C,Industrias manufactureras,18,181
1812,Actividades de servicios relacionados con la impresión,C,Industrias manufactureras,18,181
1820,Producción de copias a partir de grabaciones originales,C,Industrias manufactureras,18,182
1910,Fabricación de productos de hornos de coque,C,Industrias manufactureras,19,191
1921,Fabricación de productos de la refinación del petróleo,C,Industrias manufactureras,19,192
1922,Actividad de mezcla de combustibles,C,Industrias manufactureras,19,192
2011,Fabricación de sustancias y productos químicos básicos,C,Industrias manufactureras,20,201
2012,Fabricación de abonos y compuestos inorgánicos nitrogenados,C,Industrias manufactureras,20,201
2013,Fabricación de plásticos en formas primarias,C,Industrias manufactureras,20,201
2014,Fabricación de caucho sintético en formas primarias,C,Industrias manufactureras,20,201
2021,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,C,Industrias manufactureras,20,202
2022,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",C,Industrias manufactureras,20,202
2023,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",C,Industrias manufactureras,20,202
2029,Fabricación de otros productos químicos n.c.p.,C,Industrias manufactureras,20,202
2030,Fabricación de fibras sintéticas y artificiales,C,Industrias manufactureras,20,203
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",C,Industrias manufactureras,21,210
2211,Fabricación de llantas y neumáticos de caucho,C,Industrias manufactureras,22,221
2212,Reencauche de llantas usadas,C,Industrias manufactureras,22,221
2219,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,C,Industrias manufactureras,22,221
2221,Fabricación de formas básicas de plástico,C,Industrias manufactureras,22,222
2229,Fabricación de artículos de plástico n.c.p.,C,Industrias manufactureras,22,222
2310,Fabricación de vidrio y productos de vidrio,C,Industrias manufactureras,23,231
2391,Fabricación de productos refractarios,C,Industrias manufactureras,23,239
2392,Fabricación de materiales de arcilla para la construcción,C,Industrias manufactureras,23,239
2393,Fabricación de otros productos de cerámica y porcelana,C,Industrias manufactureras,23,239
2394,"Fabricación de cemento, cal y yeso",C,Industrias manufactureras,23,239
2395,"Fabricación de artículos de hormigón, cemento y yeso",C,Industrias manufactureras,23,239
2396,"Corte, tallado y acabado de la piedra",C,Industrias manufactureras,23,239
2399,Fabricación de otros productos minerales no metálicos n.c.p.,C,Industrias manufactureras,23,239
2410,Industrias básicas de hierro y de acero,C,Industrias manufactureras,24,241
