asesor,nit,empresa,ultimo_digito,municipio,departamento,fecha_vencimiento
Revisoria,900295286,Ecoplanta PRI S.A.S,6,Barrancabermeja,Santander,2026-09-11
Revisoria,900295286,Ecoplanta PRI S.A.S,6,Bogotá,D.C.,2026-10-21
Revisoria,900295286,Ecoplanta PRI S.A.S,6,Cali,Valle del Cauca,2026-09-25
Revisoria,900295286,Ecoplanta PRI S.A.S,6,Cartagena,Bolivar,2026-08-06
Revisoria,900295286,Ecoplanta PRI S.A.S,6,Tame,Arauca,2026-08-03
Revisoria,900295286,Ecoplanta PRI S.A.S,6,Yopal,Casanare,2026-10-30
Revisoria - Alexandra,900322566,Inversiones Asdisan SAS,6,Bogotá,D.C.,2026-10-21
Revisoria - Alexandra,900322566,Inversiones Asdisan SAS,6,Cali,Valle del Cauca,2026-09-25
Revisoria - Alexandra,900322566,Inversiones Asdisan SAS,6,Yopal,Casanare,2026-10-30
Revisoria,900411909,Inversiones Garcia Abril SAS,9,Yopal,Casanare,2026-10-30
Revisoria,900607351,Soluxionar S.A.S.,1,Barrancabermeja,Santander,2026-09-11
Revisoria,900607351,Soluxionar S.A.S.,1,Yopal,Casanare,2026-10-30
Revisoria,900812569,Transporte Especial La Estrella S.A.S.,9,Barrancabermeja,Santander,2026-09-11
Revisoria,900812569,Transporte Especial La Estrella S.A.S.,9,Bogotá,D.C.,2026-10-26
Revisoria,900812569,Transporte Especial La Estrella S.A.S.,9,Yopal,Casanare,2026-10-30
Revisoria,901239506,Transportes De Carga La Estrella 2 S.A.S.,6,Yopal,Casanare,2026-10-30
Revisoria,900053758,Transportes Gayco S.A.S.,8,Arjona,Bolivar,2026-08-24
Revisoria,900053758,Transportes Gayco S.A.S.,8,Barrancabermeja,Santander,2026-09-11
Revisoria,900053758,Transportes Gayco S.A.S.,8,Bogotá,D.C.,2026-10-23
Revisoria,900053758,Transportes Gayco S.A.S.,8,Buenaventura,Valle del Cauca,2026-10-19
Revisoria,900053758,Transportes Gayco S.A.S.,8,Cali,Valle del Cauca,2026-09-30
Revisoria,900053758,Transportes Gayco S.A.S.,8,Guadalajara de Buga,Valle del Cauca,2026-08-13
Revisoria,900053758,Transportes Gayco S.A.S.,8,Medellin,Antioquia,2026-08-04
Revisoria,900053758,Transportes Gayco S.A.S.,8,Palmira,Valle del Cauca,2026-10-13
Revisoria,900053758,Transportes Gayco S.A.S.,8,Yopal,Casanare,2026-10-30
