orden,municipio,departamento
1,Abejorral,Antioquia
2,Ábrego,Norte De Santander
3,Abriaquí,Antioquia
4,Acacías,Meta
5,Acandí,Chocó
6,Acevedo,Huila
7,Achí,Bolívar
8,Agrado,Huila
9,Agua De Dios,Cundinamarca
10,Aguachica,Cesar
11,Aguada,Santander
12,Aguadas,Caldas
13,Aguazul,Casanare
14,Agustín Codazzi,Cesar
15,Aipe,Huila
16,Albán,Cundinamarca
17,Albán,Nariño
18,Albania,Caquetá
19,Albania,La Guajira
20,Albania,Santander
21,Alcalá,Valle Del Cauca
22,Aldana,Nariño
23,Alejandría,Antioquia
24,Algarrobo,Magdalena
25,Algeciras,Huila
26,Almaguer,Cauca
27,Almeida,Boyacá
28,Alpujarra,Tolima
29,Altamira,Huila
30,Alto Baudó,Chocó
31,Altos Del Rosario,Bolívar
32,Alvarado,Tolima
33,Amagá,Antioquia
34,Amalfi,Antioquia
35,Ambalema,Tolima
36,Anapoima,Cundinamarca
37,Ancuyá,Nariño
38,Andalucía,Valle Del Cauca
39,Andes,Antioquia
40,Angelópolis,Antioquia
41,Angostura,Antioquia
42,Anolaima,Cundinamarca
43,Anorí,Antioquia
44,Anserma,Caldas
45,Ansermanuevo,Valle Del Cauca
46,Anzá,Antioquia
47,Anzoátegui,Tolima
48,Apartadó,Antioquia
49,Apía,Risaralda
50,Apulo,Cundinamarca
51,Aquitania,Boyacá
52,Aracataca,Magdalena
53,Aranzazu,Caldas
54,Aratoca,Santander
55,Arauca,Arauca
56,Arauquita,Arauca
57,Arbeláez,Cundinamarca
58,Arboleda,Nariño
59,Arboledas,Norte De Santander
60,Arboletes,Antioquia
61,Arcabuco,Boyacá
62,Arenal,Bolívar
63,Argelia,Antioquia
64,Argelia,Cauca
65,Argelia,Valle Del Cauca
66,Ariguaní,Magdalena
67,Arjona,Bolívar
68,Armenia,Antioquia
69,Armenia,Quindio
70,Armero Guayabal,Tolima
71,Arroyohondo,Bolívar
72,Astrea,Cesar
73,Ataco,Tolima
74,Atrato,Chocó
75,Ayapel,Córdoba
76,Bagadó,Chocó
77,Bahía Solano,Chocó
78,Bajo Baudó,Chocó
79,Balboa,Cauca
80,Balboa,Risaralda
81,Baranoa,Atlántico
82,Baraya,Huila
83,Barbacoas,Nariño
84,Barbosa,Antioquia
85,Barbosa,Santander
86,Barichara,Santander
87,Barranca De Upía,Meta
88,Barrancabermeja,Santander
89,Barrancas,La Guajira
90,Barranco De Loba,Bolívar
91,Barranquilla,Atlántico
92,Becerril,Cesar
93,Belalcázar,Caldas
94,Belén,Boyacá
95,Belén,Nariño
96,Belén De Los Andaquíes,Caquetá
97,Belén De Umbría,Risaralda
98,Bello,Antioquia
99,Belmira,Antioquia
100,Beltrán,Cundinamarca
101,Berbeo,Boyacá
102,Betania,Antioquia
103,Betéitiva,Boyacá
104,Betulia,Antioquia
105,Betulia,Santander
106,Bituima,Cundinamarca
107,Boavita,Boyacá
108,Bochalema,Norte De Santander
109,"Bogotá, D.C.","Bogotá, D.C."
110,Bojacá,Cundinamarca
111,Bojayá,Chocó
112,Bolívar,Cauca
113,Bolívar,Santander
114,Bolívar,Valle Del Cauca
115,Bosconia,Cesar
116,Boyacá,Boyacá
117,Briceño,Antioquia
118,Briceño,Boyacá
119,Bucaramanga,Santander
120,Bucarasica,Norte De Santander
121,Buenaventura,Valle Del Cauca
122,Buenavista,Boyacá
123,Buenavista,Córdoba
124,Buenavista,Quindio
125,Buenavista,Sucre
126,Buenos Aires,Cauca
127,Buesaco,Nariño
128,Bugalagrande,Valle Del Cauca
129,Buriticá,Antioquia
130,Busbanzá,Boyacá
131,Cabrera,Cundinamarca
132,Cabrera,Santander
133,Cabuyaro,Meta
134,Cáceres,Antioquia
135,Cachipay,Cundinamarca
136,Cáchira,Norte De Santander
137,Cácota,Norte De Santander
138,Caicedo,Antioquia
139,Caicedonia,Valle Del Cauca
140,Caimito,Sucre
141,Cajamarca,Tolima
142,Cajibío,Cauca
143,Cajicá,Cundinamarca
144,Calamar,Bolívar
145,Calamar,Guaviare
146,Calarcá,Quindio
147,Caldas,Antioquia
148,Caldas,Boyacá
149,Caldono,Cauca
150,Cali,Valle Del Cauca
151,California,Santander
152,Calima,Valle Del Cauca
153,Caloto,Cauca
154,Campamento,Antioquia
155,Campo De La Cruz,Atlántico
156,Campoalegre,Huila
157,Campohermoso,Boyacá
158,Canalete,Córdoba
159,Candelaria,Atlántico
160,Candelaria,Valle Del Cauca
161,Cantagallo,Bolívar
162,Cañasgordas,Antioquia
163,Caparrapí,Cundinamarca
164,Capitanejo,Santander
165,Cáqueza,Cundinamarca
166,Caracolí,Antioquia
167,Caramanta,Antioquia
168,Carcasí,Santander
169,Carepa,Antioquia
170,Carmen De Apicalá,Tolima
171,Carmen De Carupa,Cundinamarca
172,Carmen Del Darién,Chocó
173,Carolina,Antioquia
174,Cartagena De Indias,Bolívar
175,Cartagena Del Chairá,Caquetá
176,Cartago,Valle Del Cauca
177,Carurú,Vaupés
178,Casabianca,Tolima
179,Castilla La Nueva,Meta
180,Caucasia,Antioquia
181,Cepitá,Santander
182,Cereté,Córdoba
183,Cerinza,Boyacá
184,Cerrito,Santander
185,Cerro De San Antonio,Magdalena
186,Cértegui,Chocó
187,Chachagüí,Nariño
188,Chaguaní,Cundinamarca
189,Chalán,Sucre
190,Chámeza,Casanare
191,Chaparral,Tolima
192,Charalá,Santander
193,Charta,Santander
194,Chía,Cundinamarca
195,Chigorodó,Antioquia
196,Chima,Santander
197,Chimá,Córdoba
198,Chimichagua,Cesar
199,Chinácota,Norte De Santander
